session,ChargePoint,Connector,starttime_parking,endtime_parking,StartCard,connected_time_float,charged_time_float,total_energy,max_power,start_hour,day_no,energy_supplied,soc_arr,charged_time,connected_time,ts_arr,ts_dep,ts_soj,laxity,depart_hour,xi,laxity_float
3261657,e62c50d1be0a2f80ec51d471f9630a4e,2,2019-01-01 00:30:00,2019-01-01 08:24:00,826d337c1d84900452edfcb27a3fb11bcbd06f35da8406abd9ca28b1291d219c,7.91,1.0,6.53,9.818,0,0,10.78,0.83525,1.0,8.0,166560.0,166568.0,8.0,7.0,8.0,37.722301571107934,6.91
3262038,9bae10789a789973cc7f05d2a96df76f,1,2019-01-01 10:36:00,2019-01-01 12:52:00,26612ba143072faddaa884c2b04208992c5f44d97e5a247dacfbce8a6b0fb9c9,2.27,2.27,8.08,3.6,10,0,24.4706,0.6641175,3.0,3.0,166570.0,166573.0,3.0,0.73,13.0,3.933897163844114,0.0
3262129,5ab468315a1f42feb6d0a87307593352,1,2019-01-01 11:49:00,2019-01-01 17:50:00,8478920deafe847713d1707d8f71a043c59fa066e55020b941c8685aa6634f64,6.02,3.75,11.56,3.4,11,0,40.425,0.4646875,4.0,7.0,166571.0,166578.0,7.0,3.25,18.0,17.51392572944297,2.27
3262170,00fa448dfcba79a12a3cea56fb48d63f,2,2019-01-01 12:22:00,2019-01-01 14:29:00,e8e1953d3e6221f971ce3299d2fa8275cdc9e7700e2b391485928725b7e8711e,2.12,0.87,3.84,7.973,12,0,9.3786,0.8527675,1.0,3.0,166572.0,166575.0,3.0,2.1300000000000003,15.0,11.478357478065702,1.2500000000000004
3262208,e35645c6b4adb10224ecfbdff6bc5473,1,2019-01-01 12:51:00,2019-01-01 15:16:00,6490d53fbbe95d74592928292858f9b156d838f08d062e7258f1e95321dfd4e8,2.41,2.41,8.5,3.592,12,0,25.9798,0.6452525,3.0,3.0,166572.0,166575.0,3.0,0.5900000000000003,15.0,3.179451132421956,4.440892098500626e-16
3262308,b8c667bad033c61b8f9bf2efe8f08da5,1,2019-01-01 13:55:00,2019-01-01 16:45:00,3a536ca8fc0944a8818622082ef20efadc7e425d3fd846dc3329f606a80fec82,2.84,2.38,7.2,3.508,13,0,25.6564,0.649295,3.0,3.0,166573.0,166576.0,3.0,0.6199999999999997,16.0,3.341118139155273,0.4599999999999995
3262735,5a6d1497b113b01e1382417a740167a9,1,2019-01-01 14:03:00,2019-01-01 14:39:00,291e27fff38f85c0197d7d05ee73ed70b428eb8b32de650e34bf728f7790c719,0.6,0.6,5.97,10.154,14,0,6.467999999999999,0.88915,1.0,1.0,166574.0,166575.0,1.0,0.4000000000000001,15.0,2.155560089777597,1.1102230246251563e-16
3262383,06ba7ca4a213bc697a16e6c01bad37ee,2,2019-01-01 14:31:00,2019-01-01 15:45:00,2a9a11575a55ae3f763bce2c28a7aeb14d91149775f6ccab8041aabdc66b73ee,1.23,1.23,8.65,7.08,14,0,13.2594,0.8042575,2.0,2.0,166574.0,166576.0,2.0,0.7699999999999998,16.0,4.149453172821872,-2.220446049250313e-16
3262324,e1a200358838d1677b3126969a3258c9,1,2019-01-01 14:04:00,2019-01-01 16:12:00,0e36e13bf422d9e3f5deab0a18983085e504c4f4b7772e5aa4c7f74a3495eae1,2.14,2.13,7.74,3.72,14,0,22.9614,0.6829825,3.0,3.0,166574.0,166577.0,3.0,0.8700000000000006,17.0,4.688343195266275,0.0100000000000006
3262404,b70a408b2cd8062edc31ccfccf74e30c,1,2019-01-01 14:43:00,2019-01-01 19:24:00,9e722ff97635eb02bb737b93bc033410597720b322d4591e77cad50a85872e64,4.69,4.69,17.18,3.752,14,0,50.5582,0.3380225,5.0,5.0,166574.0,166579.0,5.0,0.3099999999999996,19.0,1.6705590695776351,0.0
